arm,node,threads,bw_gbps,tax,occupancy_est,latency_ns_used
cxl_1t,cxl,1,12.431,2.9628,78.04,401.8
local_1t,local,1,43.401,4.1493,98.81,145.7
local_2t,local,2,44.514,9.6445,101.34,145.7
local_4t,local,4,45.323,15.0241,103.18,145.7
local_5t,local,5,45.437,15.4418,103.44,145.7
local_6t,local,6,45.489,15.5804,103.56,145.7
local_7t,local,7,45.602,17.1371,103.82,145.7
local_3t,local,3,45.789,12.8779,104.24,145.7
cxl_2t,cxl,2,20.288,6.1086,127.37,401.8
cxl_3t,cxl,3,20.651,18.2605,129.65,401.8
cxl_4t,cxl,4,23.053,21.4966,144.73,401.8
cxl_5t,cxl,5,23.910,22.0834,150.11,401.8
cxl_6t,cxl,6,23.985,21.1664,150.58,401.8
cxl_7t,cxl,7,24.135,20.2513,151.52,401.8
