platform,leg,config,threads,node,n,bw_gbps_median,bw_gbps_ci_lo,bw_gbps_ci_hi,latency_ns,implied_mlp_lines
intel_emr,thread_sweep,wb_cxl,1,2,12,8.908,8.902,8.910,164.63,22.91
intel_emr,thread_sweep,wb_cxl,2,2,12,17.346,17.244,17.412,164.63,44.62
intel_emr,thread_sweep,wb_cxl,4,2,12,24.101,23.959,24.213,164.63,61.99
intel_emr,thread_sweep,wb_cxl,8,2,12,24.254,24.225,24.283,164.63,62.39
intel_emr,thread_sweep,wb_local,1,0,12,14.232,14.224,14.235,84.55,18.80
intel_emr,thread_sweep,wb_local,2,0,12,28.749,28.690,28.787,84.55,37.98
intel_emr,thread_sweep,wb_local,4,0,12,56.625,56.575,56.689,84.55,74.80
intel_emr,thread_sweep,wb_local,8,0,12,107.412,107.363,107.431,84.55,141.89
intel_emr,thread_sweep,wc_cxl,1,2,12,6.378,6.376,6.381,164.63,16.41
intel_emr,thread_sweep,wc_cxl,2,2,12,12.918,12.832,12.970,164.63,33.23
intel_emr,thread_sweep,wc_cxl,4,2,12,23.201,23.165,23.230,164.63,59.68
intel_emr,thread_sweep,wc_cxl,8,2,12,24.224,24.196,24.248,164.63,62.31
intel_emr,thread_sweep,wc_local,1,0,12,10.930,10.924,10.935,84.55,14.44
intel_emr,thread_sweep,wc_local,2,0,12,22.201,22.068,22.245,84.55,29.33
intel_emr,thread_sweep,wc_local,4,0,12,43.968,43.954,43.987,84.55,58.08
intel_emr,thread_sweep,wc_local,8,0,12,84.556,84.519,84.581,84.55,111.70
intel_emr,sw_prefetch_sweep,cxl_t0_d0,1,2,12,9.567,9.322,9.696,164.63,24.61
intel_emr,sw_prefetch_sweep,cxl_t0_d1,1,2,12,6.058,5.940,6.185,164.63,15.58
intel_emr,sw_prefetch_sweep,cxl_t0_d2,1,2,12,6.388,6.224,6.430,164.63,16.43
intel_emr,sw_prefetch_sweep,cxl_t0_d4,1,2,12,6.969,6.723,7.086,164.63,17.92
intel_emr,sw_prefetch_sweep,cxl_t0_d8,1,2,12,7.905,7.758,7.994,164.63,20.34
intel_emr,sw_prefetch_sweep,cxl_t0_d16,1,2,12,8.822,8.801,8.895,164.63,22.69
intel_emr,sw_prefetch_sweep,cxl_t0_d32,1,2,12,9.149,9.076,9.178,164.63,23.53
intel_emr,sw_prefetch_sweep,cxl_t0_d64,1,2,12,9.491,9.332,9.619,164.63,24.41
intel_emr,sw_prefetch_sweep,cxl_nta_d0,1,2,12,9.808,9.514,9.906,164.63,25.23
intel_emr,sw_prefetch_sweep,cxl_nta_d1,1,2,12,5.064,4.958,5.092,164.63,13.03
intel_emr,sw_prefetch_sweep,cxl_nta_d2,1,2,12,5.034,4.990,5.058,164.63,12.95
intel_emr,sw_prefetch_sweep,cxl_nta_d4,1,2,12,5.098,5.063,5.123,164.63,13.11
intel_emr,sw_prefetch_sweep,cxl_nta_d8,1,2,12,5.383,5.344,5.405,164.63,13.85
intel_emr,sw_prefetch_sweep,cxl_nta_d16,1,2,12,5.598,5.459,5.662,164.63,14.40
intel_emr,sw_prefetch_sweep,cxl_nta_d32,1,2,12,4.358,4.097,4.506,164.63,11.21
intel_emr,sw_prefetch_sweep,cxl_nta_d64,1,2,12,3.292,3.290,3.295,164.63,8.47
intel_emr,sw_prefetch_sweep,local_t0_d0,1,0,12,14.672,14.630,14.790,84.55,19.38
intel_emr,sw_prefetch_sweep,local_t0_d1,1,0,12,9.839,9.733,9.875,84.55,13.00
intel_emr,sw_prefetch_sweep,local_t0_d2,1,0,12,10.018,9.898,10.085,84.55,13.23
intel_emr,sw_prefetch_sweep,local_t0_d4,1,0,12,10.568,10.329,10.709,84.55,13.96
intel_emr,sw_prefetch_sweep,local_t0_d8,1,0,12,11.643,11.435,11.722,84.55,15.38
intel_emr,sw_prefetch_sweep,local_t0_d16,1,0,12,13.096,13.000,13.261,84.55,17.30
intel_emr,sw_prefetch_sweep,local_t0_d32,1,0,12,14.616,14.529,14.776,84.55,19.31
intel_emr,sw_prefetch_sweep,local_t0_d64,1,0,12,14.692,14.575,14.833,84.55,19.41
intel_emr,sw_prefetch_sweep,local_nta_d0,1,0,12,14.689,14.566,14.855,84.55,19.40
intel_emr,sw_prefetch_sweep,local_nta_d1,1,0,12,7.719,7.602,7.849,84.55,10.20
intel_emr,sw_prefetch_sweep,local_nta_d2,1,0,12,7.854,7.769,7.947,84.55,10.37
intel_emr,sw_prefetch_sweep,local_nta_d4,1,0,12,8.116,8.049,8.151,84.55,10.72
intel_emr,sw_prefetch_sweep,local_nta_d8,1,0,12,8.590,8.491,8.618,84.55,11.35
intel_emr,sw_prefetch_sweep,local_nta_d16,1,0,12,8.930,8.748,9.004,84.55,11.80
intel_emr,sw_prefetch_sweep,local_nta_d32,1,0,12,7.133,6.323,7.408,84.55,9.42
intel_emr,sw_prefetch_sweep,local_nta_d64,1,0,12,5.623,5.620,5.628,84.55,7.43
