label,description,n,mode,threads,scan_threads,probe_threads,queue_depth,policy,throughput_mtuples_median,throughput_mtuples_cov,throughput_mtuples_ci95_lo,throughput_mtuples_ci95_hi,active_cyc_per_access_median,active_cyc_per_access_cov,active_cyc_per_access_ci95_lo,active_cyc_per_access_ci95_hi,cpu_migrations_median,cycles_over_refcycles_median
A2_16,"Config A: fused morsel, CAT off, 16 cores (seq1 reference)",30,morsel,16,,,,wb,304.767857,0.021227789035614966,297.9562275,307.0731855,96.34348545,0.020887779733992213,95.76823935,99.14100735,16.0,0.9991807873408254
A2_1c,"Config A: fused morsel, CAT off, 1 core (seq3b reference, paired with B_1c)",30,morsel,1,,,,wb,18.61310605,0.03172150947318015,18.4172793,18.790911100000002,101.96721500000001,0.030673284167730477,101.01276050000001,103.0638145,1.0,0.9998492709727491
A3_16,"Config A: fused morsel, CAT off, 16 cores (seq2 reference, paired with B16)",30,morsel,16,,,,wb,298.6900505,0.014813800662128259,296.3319375,299.71001,99.2310985,0.013672170747229933,98.90588035,99.36662989999999,17.0,0.9989265704771322
A_1c,"Config A: fused morsel, CAT off, 1 core (seq3a reference)",30,morsel,1,,,,wb,18.86879285,0.01167435133196612,18.76493905,19.00499995,100.59027900000001,0.011679617690157513,99.8715708,101.1549835,1.0,0.999839242714742
B16,"Config B: fused morsel, CAT on (single CLOS, 4 of 20 ways), 16 cores",30,morsel,16,,,,wb,203.75428649999998,0.050806334613818734,202.76599900000002,204.330237,145.0518985,0.04717887159519033,144.796923,145.738016,16.0,0.9991756521439297
B_1c,"Config B: fused morsel, CAT on (single CLOS, 4 of 20 ways), 1 core",30,morsel,1,,,,wb,13.4297829,0.05249574354053879,13.3654738,13.5171488,141.377899,0.04764677752298896,140.459832,142.0633775,1.0,0.9998414019513735
C_1way,"Config C: split at best ratio (1:3), CAT on, scan CLOS=1 way / probe CLOS=19 ways, 16 cores",30,split,16,4,12,16,wb,204.200517,0.015831278476840103,203.59913749999998,206.04875,96.96498455,0.014979747491330684,96.56888365,97.3838939,16.5,0.9989769174809076
C_2way,"Config C: split at best ratio (1:3), CAT on, scan CLOS=2 ways / probe CLOS=18 ways, 16 cores",30,split,16,4,12,16,wb,199.87990250000001,0.020932291397357326,198.2791735,201.212007,99.3735934,0.018300296604508617,98.37060629999999,99.80387569999999,16.0,0.9990667948059195
D_1_1,"Config D: split 8 scan/8 probe (ratio 1:1), queue-depth=16, CAT off, 16 cores",30,split,16,8,8,16,wb,152.4385385,0.026031601214023953,152.129015,155.6016825,96.6377935,0.026117360449592453,94.25074585,97.0269734,17.0,0.9991758438624363
D_1_3,"Config D: split 4 scan/12 probe (ratio 1:3), queue-depth=16, CAT off, 16 cores",30,split,16,4,12,16,wb,204.8915295,0.026709299417378346,203.08078,206.2109095,96.8313996,0.024827163016899086,96.3848548,97.86946125,16.0,0.9990799295314843
D_3_1,"Config D: split 12 scan/4 probe (ratio 3:1), queue-depth=16, CAT off, 16 cores",30,split,16,12,4,16,wb,79.13591804999999,0.020769091395123396,77.61278,80.05771525,94.0347043,0.021102948524047482,92.73642104999999,95.8021594,17.0,0.9991530308023306
Dref,"Config D: split at best ratio (1:3), queue-depth=16, CAT off, 16 cores (seq2 reference, paired with C)",30,split,16,4,12,16,wb,206.616417,0.019813804316507748,205.4898125,208.72932550000002,96.2481151,0.01809839566817943,95.10220655,96.81997145,17.0,0.9990638410778847
E16,"Config E: fused morsel, policy=PREFETCHNTA, CAT off, 16 cores",30,morsel,16,,,,nta,270.9575575,0.024498235834319933,268.3424575,274.254321,107.799239,0.022572191146432045,106.9735655,108.78688249999999,16.0,0.9990286576009123
Q16,"Config Q: quiescent hot-table-only probe, 16 threads, 16 cores, H_quiescent",30,hot-probe,16,,,,wb,400.0539945,0.046082341693405006,391.53417,425.5479415,60.150726500000005,0.05489234379943739,55.9518064,61.27977165,16.0,0.9978642830059652
Q_1c,"Config Q: quiescent hot-table-only probe, 1 thread, 1 core, H_quiescent",30,hot-probe,1,,,,wb,31.370873,0.019396953110631807,31.2224842,31.5194606,60.47135025,0.01915140144472931,60.179823600000006,60.7539587,1.0,0.9998272717218855
gate_A_untuned_16c,"Config A: fused morsel, CAT off, 16 cores (first-pass gate)",30,morsel,16,,,,wb,308.12678100000005,0.01184875396634831,306.779361,308.4061825,95.7360716,0.01317305092088521,95.63134604999999,96.0565125,16.0,0.9988477171663113
gate_D_8x8_qd8_16c,"Config D: split 8 scan/8 probe, queue-depth=8, CAT off, 16 cores (first-pass gate, superseded by tuned D_1_3)",30,split,16,8,8,8,wb,146.664838,0.022361707815517943,143.93566149999998,149.971399,94.07500540000001,0.02183879506567868,92.438198,96.25620125,16.0,0.9990375765911839
