label,description,n,mode,threads,scan_threads,probe_threads,queue_depth,policy,throughput_mtuples_median,throughput_mtuples_cov,throughput_mtuples_ci95_lo,throughput_mtuples_ci95_hi,active_cyc_per_access_median,active_cyc_per_access_cov,active_cyc_per_access_ci95_lo,active_cyc_per_access_ci95_hi,cpu_migrations_median,cycles_over_refcycles_median
A2_16,"Config A: fused morsel, CAT off, 16 cores (seq1 reference)",30,morsel,16,,,,wb,335.4628515,0.009254581357340414,334.775914,337.145391,88.62352630000001,0.009632835702665626,88.2745053,89.0610005,17.0,0.9990931051581413
A2_1c,"Config A: fused morsel, CAT off, 1 core (seq3b reference, paired with B_1c)",30,morsel,1,,,,wb,21.27706465,0.017337355767606474,21.1850648,21.384298,89.1921378,0.016993702319654032,88.74678779999999,89.5861948,1.0,0.9998233577263462
A3_16,"Config A: fused morsel, CAT off, 16 cores (seq2 reference, paired with B16)",30,morsel,16,,,,wb,336.582476,0.015263970797354568,334.4683955,338.0244015,88.45395515,0.014823002969927557,88.1784107,88.9181602,16.0,0.9989823477601245
A_1c,"Config A: fused morsel, CAT off, 1 core (seq3a reference)",30,morsel,1,,,,wb,21.2102805,0.008908199759941105,21.12128675,21.2532583,89.4681149,0.008854348161969838,89.2950521,89.85007405,1.0,0.9998420887487579
B16,"Config B: fused morsel, CAT on (single CLOS, 4 of 20 ways), 16 cores",30,morsel,16,,,,wb,234.44331549999998,0.03596253910687087,233.890187,234.979073,126.86147299999999,0.029887948690326304,126.497597,127.0728925,16.0,0.9990776395583427
B_1c,"Config B: fused morsel, CAT on (single CLOS, 4 of 20 ways), 1 core",30,morsel,1,,,,wb,15.8181264,0.052684840232483064,15.75748735,15.8847122,120.009499,0.047606119825592305,119.51096799999999,120.47687400000001,1.0,0.9998435816666091
C_1way,"Config C: split at best ratio (1:3), CAT on, scan CLOS=1 way / probe CLOS=19 ways, 16 cores",30,split,16,4,12,16,wb,214.98323249999999,0.019421972031830718,213.95720749999998,216.642451,95.3693501,0.020327265188033402,94.65192875,95.9634058,17.0,0.9989724793551117
C_2way,"Config C: split at best ratio (1:3), CAT on, scan CLOS=2 ways / probe CLOS=18 ways, 16 cores",30,split,16,4,12,16,wb,208.96333049999998,0.020547127961289626,208.38432999999998,210.9506955,97.87452015,0.0203073031411352,97.01724125,98.21644739999999,16.5,0.9989178699999004
D_1_1,"Config D: split 8 scan/8 probe (ratio 1:1), queue-depth=16, CAT off, 16 cores",30,split,16,8,8,16,wb,159.2169615,0.007359959779862145,158.690249,159.621448,94.1043717,0.006990991791764934,93.83407225,94.4849412,16.0,0.9991306011980678
D_1_3,"Config D: split 4 scan/12 probe (ratio 1:3), queue-depth=16, CAT off, 16 cores",30,split,16,4,12,16,wb,213.330103,0.007692221652794818,212.588952,213.7904765,96.38997005,0.006472072128847773,96.04341595,96.5986898,16.0,0.9989680167026485
D_3_1,"Config D: split 12 scan/4 probe (ratio 3:1), queue-depth=16, CAT off, 16 cores",30,split,16,12,4,16,wb,80.5106515,0.008685216453897882,80.134507,80.84766155,93.11102690000001,0.007958624896243298,92.98223655000001,93.6102436,16.0,0.9991767091929251
Dref,"Config D: split at best ratio (1:3), queue-depth=16, CAT off, 16 cores (seq2 reference, paired with C)",30,split,16,4,12,16,wb,214.577305,0.020332965666049963,213.48936600000002,215.4876195,95.688365,0.021062003071083166,95.45258955,96.1268029,17.0,0.9989930876948342
E16,"Config E: fused morsel, policy=PREFETCHNTA, CAT off, 16 cores",30,morsel,16,,,,nta,298.064638,0.017453078784352847,294.9280185,300.45255299999997,98.3653298,0.013060887377592215,97.61824705000001,98.83173575,16.0,0.998932845328304
Q16,"Config Q: quiescent hot-table-only probe, 16 threads, 16 cores, H_quiescent",30,hot-probe,16,,,,wb,391.9254125,0.03966038422733833,387.559399,397.42940450000003,61.71128315,0.04388018127360635,60.6508482,62.04750335,16.0,0.9978177705340849
Q_1c,"Config Q: quiescent hot-table-only probe, 1 thread, 1 core, H_quiescent",30,hot-probe,1,,,,wb,31.244816399999998,0.016737897575268532,31.209055,31.439647299999997,60.70968635,0.016432848894524888,60.3341576,60.7739943,1.0,0.9998085318518778
gate_A_untuned_16c,"Config A: fused morsel, CAT off, 16 cores (first-pass gate)",30,morsel,16,,,,wb,335.3845945,0.009957800965089126,334.594615,336.328817,88.67347875,0.010131974158536169,88.3850157,88.8630812,16.5,0.9989642040990991
gate_D_8x8_qd8_16c,"Config D: split 8 scan/8 probe, queue-depth=8, CAT off, 16 cores (first-pass gate, superseded by tuned D_1_3)",30,split,16,8,8,8,wb,147.9617585,0.004519723714536846,147.7081435,148.2592705,101.559324,0.004132506329810214,101.338698,101.686966,16.0,0.9989693262166172
