cores,size_label,size_bytes,n_Q,n_A,H_Q_median,H_Q_cov,H_Q_ci_lo,H_Q_ci_hi,H_A_median,H_A_cov,H_A_ci_lo,H_A_ci_hi,delta_total_abs_cycles,ratio_A_over_Q
1,256K,256k,30,30,24.52815725,0.010268459814643976,24.329847,24.6274166,52.3233723,0.005705592180505794,52.1586653,52.50095825,27.795215050000003,2.1331962188068574
1,512K,512k,30,30,32.8917089,0.0035164792880679743,32.8511175,32.9421102,53.7966762,0.008239070423643264,53.586528799999996,54.0307771,20.904967300000003,1.6355695097374525
1,1M,1m,30,30,36.65913985,0.0028043975534466524,36.619806350000005,36.707696999999996,55.90450025,0.0077211174999097555,55.73610805,56.0593782,19.245360399999996,1.5249812319314413
1,2M,2m,30,30,39.74403345,0.00436161478245539,39.646147600000006,39.81560705,60.349865550000004,0.008026743859699367,60.12543525,60.491694949999996,20.6058321,1.518463535562468
1,4M,4m,30,30,43.0101447,0.002215141105564919,42.99207255,43.033173649999995,64.53597859999999,0.011015398600577273,64.13879134999999,64.6835947,21.525833899999995,1.500482712860996
1,16M,16m,30,30,46.3366441,0.0034139284099377522,46.268298099999996,46.43952825,69.85837255,0.011432648504545877,69.40614504999999,70.0405796,23.521728449999998,1.5076269312736008
1,64M,64m,30,30,47.869474249999996,0.011250038506596585,47.68938455,48.629054,73.5786501,0.01020292308891699,73.2863297,73.9261348,25.70917585000001,1.5370682726894584
1,170M,177838489,30,30,58.063011599999996,0.05956906080833941,53.07819835,59.4951783,85.37503425,0.024319991581213448,84.921981,87.0362087,27.312022650000003,1.4703859117428213
16,256K,256k,30,30,25.24304625,0.011026946418117987,24.960010750000002,25.28394815,52.5588183,0.004007131680515431,52.411402300000006,52.72910245,27.31577205,2.082110763474119
16,512K,512k,30,30,33.22976385,0.0031342291434783656,33.17769775,33.2776151,54.037988,0.004029150263754849,53.8499969,54.16012955,20.80822415,1.6261923570666603
16,1M,1m,30,30,36.850906949999995,0.002511175871446769,36.8342321,36.893579349999996,56.159931650000004,0.004504422391472968,56.0253106,56.1854558,19.30902470000001,1.5239769193794568
16,2M,2m,30,30,39.67734175,0.006849140449798662,39.5836599,39.804152200000004,60.553216649999996,0.012538698766862578,60.197233,61.014365549999994,20.8758749,1.5261409655801854
16,4M,4m,30,30,42.85928295,0.0022481696136664457,42.8402859,42.90821605,65.06847020000001,0.015156747330372552,64.55620345,65.80583115,22.209187250000006,1.5181884931651664
16,16M,16m,30,30,46.60007535,0.0033199364169934223,46.569789650000004,46.6768069,69.58292585000001,0.00323079367701865,69.5066959,69.67461005000001,22.982850500000012,1.4931934192677225
16,64M,64m,30,30,48.95049725,0.005050999951423339,48.700377149999994,49.03359505,72.9328579,0.005008629577361116,72.79310765,73.28589715,23.982360650000004,1.4899308893128762
16,170M,177838489,30,30,59.49522895,0.036456525257373036,58.116191549999996,60.2556697,87.1254062,0.01185043473652392,86.25380325,87.39343345,27.630177250000003,1.4644099659355962
