metric_type,cores,config,event,n,median,cov,ci_lo,ci_hi
M3,1,Q,l1d_pend_miss.pending,30,3586527465.0,0.04088730098614784,3540907222.5,3656338757.0
M3,1,Q,l1d_pend_miss.pending_cycles,30,1057343364.0,0.030987428446393152,1048995384.0,1069599859.5
M3,1,Q,l1d_pend_miss.fb_full,30,37943000.5,0.05046963737862263,36137822.0,38378175.0
M3,1,A,l1d_pend_miss.pending,30,6386662303.0,0.030457952003788896,6335631067.0,6469784879.5
M3,1,A,l1d_pend_miss.pending_cycles,30,1890197969.5,0.017007373593009283,1883335194.0,1907147580.0
M3,1,A,l1d_pend_miss.fb_full,30,145699990.0,0.028328206998946278,144881469.0,148544910.0
M3,1,Q,offcore_requests_outstanding.data_rd,30,10052354717.0,0.05181310382151341,9755160704.0,10177076545.5
M3,1,Q,offcore_requests.data_rd,30,101419914.0,0.010572857200873972,101002646.5,101646241.0
M3,1,A,offcore_requests_outstanding.data_rd,30,21193464778.0,0.03010676723223981,21011229763.0,21573752563.0
M3,1,A,offcore_requests.data_rd,30,212163667.0,0.0171351268218933,211020687.5,213388129.5
M4,1,Q,unc_cha_tor_occupancy.ia_miss_drd/unc_cha_tor_inserts.ia_miss_drd_avg_latency_uncorecyc,30,322.1145942758501,0.030564048693743035,321.15290741669696,328.29254938783845
M4,1,A,unc_cha_tor_occupancy.ia_miss_drd/unc_cha_tor_inserts.ia_miss_drd_avg_latency_uncorecyc,30,346.3025197131111,0.013118984894119378,344.838858845574,349.24296300753514
M4,1,Q,unc_cha_tor_occupancy.ia_miss_drd_local_ddr/unc_cha_tor_inserts.ia_miss_drd_local_ddr_avg_latency_uncorecyc,30,263.2223914033618,0.00769769453086938,262.93917978611023,264.1221987187516
M4,1,A,unc_cha_tor_occupancy.ia_miss_drd_local_ddr/unc_cha_tor_inserts.ia_miss_drd_local_ddr_avg_latency_uncorecyc,30,300.4799805929626,0.017344298463016782,299.72282670968013,306.7445318233804
M4,1,Q,unc_cha_tor_occupancy.ia_miss_drd_cxl_acc_local/unc_cha_tor_inserts.ia_miss_drd_cxl_acc_local_avg_latency_uncorecyc,30,491.50817155372215,0.04810058609830395,486.13441492298455,501.0579258320687
M4,1,A,unc_cha_tor_occupancy.ia_miss_drd_cxl_acc_local/unc_cha_tor_inserts.ia_miss_drd_cxl_acc_local_avg_latency_uncorecyc,30,468.7620827464447,0.001089624933601796,468.52891225930796,468.97035653054724
M3,16,Q,l1d_pend_miss.pending,30,10903962934.0,0.1095623053568267,9215440320.0,11094603050.0
M3,16,Q,l1d_pend_miss.pending_cycles,30,3223340567.5,0.0798395158804332,2873540339.5,3254984193.5
M3,16,Q,l1d_pend_miss.fb_full,30,43115657.0,0.08386104370364988,42640447.0,44068705.5
M3,16,A,l1d_pend_miss.pending,30,21100850021.0,0.04095748153324627,20142605029.0,21318411092.0
M3,16,A,l1d_pend_miss.pending_cycles,30,6247806157.5,0.025481770464498562,6095295712.0,6261635341.5
M3,16,A,l1d_pend_miss.fb_full,30,504091370.5,0.03215854037760858,486967636.5,508153032.0
M3,16,Q,offcore_requests_outstanding.data_rd,30,30721231344.5,0.14925175120759157,24065135815.0,31917634396.0
M3,16,Q,offcore_requests.data_rd,30,305480384.5,0.01542239216526411,299629468.0,306722379.5
M3,16,A,offcore_requests_outstanding.data_rd,30,66003488398.0,0.03980057089204744,64967966939.0,66435063549.0
M3,16,A,offcore_requests.data_rd,30,732259929.5,0.005345451206527672,730740847.0,733294189.5
M4,16,Q,unc_cha_tor_occupancy.ia_miss_drd/unc_cha_tor_inserts.ia_miss_drd_avg_latency_uncorecyc,30,365.04332921097875,0.07929835943573836,359.6543445973864,389.81030716723643
M4,16,A,unc_cha_tor_occupancy.ia_miss_drd/unc_cha_tor_inserts.ia_miss_drd_avg_latency_uncorecyc,30,425.7025807449687,0.02787464904747162,419.7349266097849,434.1074793285498
M4,16,Q,unc_cha_tor_occupancy.ia_miss_drd_local_ddr/unc_cha_tor_inserts.ia_miss_drd_local_ddr_avg_latency_uncorecyc,30,261.27788281250446,0.009746457052435827,259.96953620540035,262.8040659124922
M4,16,A,unc_cha_tor_occupancy.ia_miss_drd_local_ddr/unc_cha_tor_inserts.ia_miss_drd_local_ddr_avg_latency_uncorecyc,30,343.24149435328,0.03711757591714945,333.2890537591583,350.3449498255684
M4,16,Q,unc_cha_tor_occupancy.ia_miss_drd_cxl_acc_local/unc_cha_tor_inserts.ia_miss_drd_cxl_acc_local_avg_latency_uncorecyc,30,562.4920494667788,0.03984332926036486,552.9914983719283,566.1890261668627
M4,16,A,unc_cha_tor_occupancy.ia_miss_drd_cxl_acc_local/unc_cha_tor_inserts.ia_miss_drd_cxl_acc_local_avg_latency_uncorecyc,30,481.2409374165999,0.0014604121408966634,480.70623284136246,481.5398358629091
